cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Seyval blanc,Drôme rouge,IGP,Rouge,Rhône
Joubertin noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Clairette blanc,Grignan-les-Adhémar blanc,AOC,Blanc,Rhône
Meunier noir,Orléans rouge,AOC/AOP,Rouge,Loire
Tannat noir,Agenais rosé,IGP,Rosé,Sud-ouest
Roussanne blanc,Côtes du Rhône blanc,AOC/AOP,Blanc,Rhône
Gamay noir,Touraine Amboise rouge,AOC/AOP,Rouge,Loire
Couderc noir,Côtes de Thongue rosé,IGP,Rosé,Languedoc-roussillon
Mauzac blanc,Ariège blanc,IGP,Blanc,Languedoc-roussillon
Gewurztraminer rosé,Alsace grand cru zotzenberg gewurztraminer,AOC/AOP,Blanc,Alsace
Sauvignon gris,Cadillac,AOC/AOP,Blanc,Bordeaux
Roussanne blanc,Vin de Savoie Chignin-Bergeron,AOC/AOP,Blanc,Savoie bugey
Tempranillo noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Sauvignon blanc,Saussignac,AOC/AOP,Blanc,Sud-ouest
Pinot blanc,Bourgogne Coulanges-la-Vineuse blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Les Saints-Georges rouge,AOC/AOP,Rouge,Bourgogne
Maréchal Foch noir,Côtes du Brian rosé,IGP,Rosé,Languedoc-roussillon
Viognier blanc,Château-Grillet,AOC/AOP,Blanc,Rhône
Cardinal rouge,Aude blanc,IGP,Blanc,Languedoc-roussillon
Sauvignon blanc,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chardonnay blanc,Saint-Aubin premier cru Le Bas de Gamay à l'Est blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mercurey premier cru Les Naugues rouge,AOC/AOP,Rouge,Bourgogne
Petit Manseng blanc,Pacherenc du Vic-Bilh sec,AOC/AOP,Blanc,Sud-ouest
Counoise noir,Coteaux d'Aix-en-Provence rouge,AOC/AOP,Rouge,Provence-corse
Etraire de la Dui noir,Atlantique rosé,IGP,Rosé,Bordeaux
Verdesse blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Sauvignon blanc,Monbazillac Sélection de grains nobles,AOC/AOP,Blanc,Sud-ouest
Chardonnay blanc,Santenay premier cru Clos Rousseau blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Auxey-Duresses premier cru Les Grands Champs rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Bourgogne Coulanges-la-Vineuse rouge,AOC/AOP,Rouge,Bourgogne
Grenache gris,Pays d'Oc rosé de raisins surmûris,IGP,Rosé,Languedoc-roussillon
Cardinal rouge,Coteaux de Narbonne blanc,IGP,Blanc,Languedoc-roussillon
Sémillon blanc,Périgord blanc,IGP,Blanc,Bordeaux
Cabernet-Franc noir,Touraine mousseux blanc,AOC/AOP,Blanc,Loire
Muscat à petits grains rosé,Haute-Marne blanc,IGP,Blanc,Champagne
Grenache noir,Luberon rouge,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Mâcon Milly-Lamartine blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaune premier cru Clos de la Feguine blanc,AOC/AOP,Blanc,Bourgogne
Auxerrois blanc,Crémant d'Alsace blanc,AOC/AOP,Blanc,Alsace
Viognier blanc,Sable de Camargue blanc,IGP,Blanc,Languedoc-roussillon
Cabernet-Franc noir,Thézac-Perricard rosé,IGP,Rosé,Sud-ouest
Cabernet-Sauvignon noir,Neac,AOC/AOP,Rouge,Bordeaux
Syrah noir,Languedoc La Clape rosé,AOC/AOP,Rosé,Languedoc-roussillon
Gringet blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Grenache noir,Collioure rouge,AOC/AOP,Rouge,Languedoc-roussillon
Grenache gris,Maury ambré rancio hors d'âge,AOC/AOP,Rancio,Languedoc-roussillon
Pinot noir,Santenay premier cru La Comme rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Nuits-Saint-Georges premier cru Chaines Carteaux blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Fiefs Vendéens Chantonnay rouge,AOC/AOP,Rouge,Loire
Chambourcin noir,Ardèche blanc,IGP,Blanc,Rhône
Pinot blanc,Puligny-Montrachet premier cru Sous le Puits blanc,AOC/AOP,Blanc,Bourgogne
Gewurztraminer rosé,Alsace grand cru schoenenbourg vendanges tardives gewurztraminer,AOC/AOP,Blanc,Alsace
Roussette d'Ayze blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Petit Verdot noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Pinot gris,Alsace grand cru Altenberg de Bergheim Pinot gris,AOC/AOP,Blanc,Alsace
Macabeu blanc,Banyuls rosé,AOC/AOP,Rosé,Languedoc-roussillon
Egiodola noir,Côtes de Gascogne rouge,IGP,Rouge,Sud-ouest
Pinot noir,Beaune premier cru Les Bressandes rouge,AOC/AOP,Rouge,Bourgogne
Pinot blanc,Meursault premier cru Sous le Dos d'Ane blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Côtes de Bordeaux Blaye rouge,AOC,Rouge,Bordeaux
Calitor noir,Périgord rosé,IGP,Rosé,Bordeaux
Mourvèdre noir,Languedoc Pic-Saint-Loup rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Côtes du Tarn Blanc Surmûri,IGP,Blanc,Sud-ouest
Gamay noir,Beaujolais rosé,AOC/AOP,Rosé,Beaujolais
Cot noir,Bordeaux supérieur rouge,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Beaune premier cru Aux Cras blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Cité de Carcassonne rouge,IGP,Rouge,Languedoc-roussillon
