Interet,Email,Sexe,Age,Acti.,Famil.,CodeP.,AmourVin,Orga.,Particip.,Atti_Choix,Atti_Date,Atti_Paie.,Atti_Guide,Atti_VR,Atti_Jeux,Atti_Profil,Atti_Photo,Atti_Support,Util_Choix,Util_Date,Util_Paie.,Util_Guide,Util_VR,Util_Jeux,Util_Profil,Util_Photo,Util_Support,Ob_Choix,Ob_Prix,Ob_Rebours.,Ob_Inconnu,Ob_TropFormel,Ob_Plaise,Ob_QuantiVin,Ob_Diversi.,Ob_Mener,Ob_Orga.,Ob_Materiel,At_BonMoment,At_MoinsCher,At_QualiVin,At_DiversiVin,At_MoinsFormel,At_ToutPublic,At_Decouvrir,At_ApprendreChoisir,At_MetVin,At_LibreDeroul.,At_Storytelling
5,1,2,31,1,4,32130,2,0,0,5,5,5,4,5,4,5,3,5,5,5,5,4,5,4,5,1,5,5,5,5,1,1,5,5,5,4,3,5,5,1,5,5,2,5,5,5,5,3,4
5,1,2,61,3,3,31700,2,0,0,5,5,5,5,5,4,4,5,5,3,4,5,5,4,4,5,4,4,1,2,1,4,5,1,4,4,5,4,4,5,4,5,5,4,4,5,4,5,4,4
4,1,1,30,1,3,31000,2,0,0,4,4,4,4,5,5,5,5,5,3,4,4,3,3,5,5,4,5,3,1,2,4,3,2,3,2,3,3,1,5,3,4,3,3,3,5,4,4,2,3
5,1,1,35,3,4,32600,3,1,1,4,5,5,5,4,4,5,3,5,4,5,5,5,3,4,5,2,5,2,1,1,1,1,3,1,3,4,3,3,5,3,4,4,1,4,5,5,4,1,4
5,1,2,34,3,4,32600,3,0,0,3,3,4,4,4,4,4,5,4,4,4,4,5,3,4,4,2,3,4,3,4,2,2,3,2,3,4,2,2,4,1,4,2,4,4,4,3,3,2,2
5,1,1,28,3,3,31770,3,0,1,4,3,5,4,5,3,4,4,5,4,4,5,4,3,3,4,4,3,4,2,3,4,2,2,2,2,3,1,2,5,3,4,3,4,4,3,5,3,3,2
4,1,2,31,3,3,31700,2,0,0,4,3,3,5,3,4,5,4,3,5,5,4,5,3,3,5,4,3,4,3,3,3,4,5,3,4,4,4,3,5,2,4,3,4,3,4,5,4,4,4
5,1,2,26,3,3,31200,3,1,1,4,5,4,5,5,5,3,5,5,3,5,4,4,5,5,4,3,3,2,2,3,2,3,5,4,1,2,1,4,5,2,4,2,3,3,5,4,5,2,5
3,0,1,30,1,1,31200,2,0,0,3,2,4,3,2,2,4,1,2,4,3,5,2,2,2,4,1,2,1,1,1,2,1,1,3,3,2,3,5,4,2,4,4,4,4,3,3,2,3,2
3,0,1,30,3,3,47000,3,1,1,2,4,2,3,1,3,2,1,2,3,3,2,3,1,3,2,1,2,3,1,1,3,1,5,4,4,4,3,4,5,3,4,3,5,4,4,4,5,5,3
5,1,1,30,3,3,75010,3,0,1,4,4,3,4,1,4,5,1,4,4,3,4,4,1,4,5,1,4,3,2,4,5,3,3,4,4,5,4,2,5,5,5,5,5,4,5,5,4,5,5
4,0,1,30,3,1,33000,2,0,0,4,2,4,5,2,2,4,1,1,2,2,5,4,1,1,5,1,1,1,2,2,2,1,1,1,1,2,1,2,5,1,5,3,5,2,3,3,4,2,3
3,0,1,27,2,1,75012,2,0,0,3,3,3,4,2,2,4,2,2,4,4,4,4,2,2,4,1,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,3,5
5,0,1,18,2,1,31770,2,0,1,2,2,2,3,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,2,2,1,1,2,1,1,2,1,2,3,1,2,3,3,2,3,2,3,3,3
5,2,2,20,2,1,31830,3,1,1,5,4,5,5,5,5,5,3,5,4,5,5,5,3,4,5,2,5,4,4,1,1,1,4,5,4,5,5,5,5,5,4,5,5,4,5,3,5,4,1
5,2,2,19,2,1,31490,3,1,1,4,4,4,4,5,3,5,3,4,4,4,3,3,4,2,5,1,3,4,3,2,1,1,3,5,4,1,4,5,5,2,4,4,1,3,5,4,3,3,3
5,0,1,18,2,1,32450,3,1,1,,,,,,,,,,,,,,,,,,,3,5,5,3,3,3,3,5,4,3,5,5,5,4,5,5,4,5,5,5,5,5
4,0,2,21,2,1,31270,3,0,0,2,3,3,5,3,4,1,1,4,2,3,4,3,4,3,5,1,2,5,3,2,4,2,3,1,1,3,2,2,1,3,3,2,5,2,2,2,3,1,3
4,0,2,18,2,3,31320,3,0,0,5,4,5,5,2,3,4,1,3,5,5,5,4,1,2,5,1,1,4,4,4,1,4,2,2,3,1,2,3,5,3,5,5,4,5,5,1,4,3,2
4,0,1,36,3,3,32120,2,0,0,5,5,4,5,3,3,4,2,3,4,4,5,4,3,3,4,3,3,1,2,2,2,2,2,4,4,3,3,4,4,2,3,3,3,3,4,4,3,3,3
3,0,2,21,3,1,31770,1,0,0,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,3,3,1,2,3,1,1,2,3,2,2,1,1,5,2,3,3,4,4,3,4,4,2,5
5,0,1,23,3,3,31240,3,0,0,3,2,2,1,1,2,2,3,3,4,3,5,4,5,3,5,2,5,3,5,3,1,4,3,4,5,4,3,1,1,2,3,3,4,4,5,4,1,4,4
4,2,2,34,3,4,31470,3,1,1,5,3,5,3,2,4,4,2,4,4,4,5,4,3,4,5,1,5,3,3,5,3,4,4,5,3,3,1,1,3,4,4,3,2,2,5,5,3,2,4
4,2,2,42,3,2,31470,3,0,0,4,1,4,3,4,4,3,2,3,4,4,4,4,4,4,4,2,2,1,2,2,2,2,1,2,2,2,2,2,4,2,4,4,4,2,4,3,3,4,4
3,2,2,19,2,1,31700,1,0,0,4,3,4,5,2,4,5,2,5,4,5,5,5,3,4,4,1,5,1,4,2,4,2,3,4,4,3,4,2,5,4,3,4,4,3,4,5,4,4,3
3,0,2,32,2,3,34170,1,0,0,2,4,3,3,2,4,2,2,2,3,4,3,,1,5,3,3,1,4,4,5,4,5,4,4,5,5,5,3,5,3,4,4,5,4,4,2,4,4,1
