Id,Sexe,Age,Activite,SituationFamilliale,CodePostal,AmourVin,ATTIRANCE_ChoixThemePartage,ATTIRANCE_ChoixDatePartage,ATTIRANCE_PaiementPartage,ATTIRANCE_DegustationGuide,ATTIRANCE_VR,ATTIRANCE_MiniJeux,ATTIRANCE_Profil,ATTIRANCE_Photo,ATTIRANCE_SupportVR,Interet
1,2,31,3,4,32130,3,5,5,5,4,5,4,5,3,5,5
2,2,61,2,3,31700,3,5,5,5,5,5,4,4,5,5,5
3,1,30,3,3,31000,3,4,4,4,4,5,5,5,5,5,4
4,1,35,2,4,32600,4,4,5,5,5,4,4,5,3,5,5
5,2,34,2,4,32600,4,3,3,4,4,4,4,4,5,4,5
6,1,28,2,3,31770,4,4,3,5,4,5,3,4,4,5,5
7,2,31,2,3,31700,3,4,3,3,5,3,4,5,4,3,4
8,2,26,2,3,31200,4,4,5,4,5,5,5,3,5,5,5
9,1,30,3,1,31200,3,3,2,4,3,2,2,4,1,2,3
10,1,30,2,3,47,4,2,4,2,3,1,3,2,1,2,3
11,1,30,2,3,75010,4,4,4,3,4,1,4,5,1,4,5
12,1,30,2,1,33000,3,4,2,4,5,2,2,4,1,1,4
13,1,27,1,1,75012,3,3,3,3,4,2,2,4,2,2,3
14,1,18,1,1,31770,3,2,2,2,3,2,3,2,3,2,5
15,2,20,1,1,31830,4,5,4,5,5,5,5,5,3,5,5
16,2,19,1,1,31490,4,4,4,4,4,5,3,5,3,4,5
17,2,21,1,1,31270,4,2,3,3,5,3,4,1,1,4,4
18,2,18,1,3,31320,4,5,4,5,5,2,3,4,1,3,4
19,1,36,2,3,32120,3,5,5,4,5,3,3,4,2,3,4
20,2,21,2,1,31770,2,4,4,4,3,3,4,4,4,3,3
21,1,23,2,3,31240,4,3,2,2,1,1,2,2,3,3,5
22,2,34,2,4,31470,4,5,3,5,3,2,4,4,2,4,4
23,2,42,2,2,31470,4,4,1,4,3,4,4,3,2,3,4
24,2,19,1,1,31700,2,4,3,4,5,2,4,5,2,5,3
25,2,32,1,3,34170,2,2,4,3,3,2,4,2,2,2,3
26,2,59,2,1,31170,4,3,1,2,1,1,1,3,1,1,2
27,2,20,1,3,31120,3,4,4,4,1,3,4,1,4,1,3
28,1,31,2,4,19109,4,4,5,5,4,4,5,4,5,4,4
29,1,37,2,4,31470,3,4,4,4,4,4,4,5,4,1,4
30,2,50,2,3,31779,3,4,5,5,4,3,3,2,3,2,3
31,1,28,2,3,31770,4,4,4,5,4,4,4,4,4,4,5
32,2,27,2,4,31470,2,2,2,2,2,2,2,2,2,2,2
33,1,39,2,1,35000,3,2,2,3,4,4,4,5,4,4,3
34,2,22,1,3,31470,3,4,5,5,4,3,2,5,2,4,4
35,2,28,2,3,69170,3,4,4,5,5,4,5,5,5,4,4
36,1,35,2,4,,3,4,3,3,3,1,2,3,1,1,2
37,2,27,2,1,31200,3,5,4,5,5,3,4,5,3,3,4
38,2,28,2,3,75018,4,2,2,2,2,2,2,2,2,2,3
39,2,30,2,1,31870,3,4,5,4,4,2,4,5,3,2,3
40,1,32,3,4,75017,4,4,2,4,5,2,4,5,1,2,5
41,2,29,2,4,30132,3,4,5,5,2,3,4,4,4,4,3
42,1,65,3,3,77290,3,4,5,3,4,3,3,4,5,4,4
43,2,29,2,3,31830,3,5,4,4,4,5,2,5,2,4,2
44,1,23,2,4,31470,3,4,4,5,5,5,5,3,5,5,5
45,1,27,3,4,66600,4,3,4,3,3,2,3,4,2,2,3
46,1,27,2,3,85600,4,4,4,3,3,2,3,3,2,1,4
47,2,24,1,1,93,4,4,5,5,5,3,4,4,3,2,4
48,1,29,3,1,31700,4,4,4,3,3,1,3,3,1,3,2
49,2,25,2,3,31120,4,5,5,5,5,2,5,5,2,2,5
50,1,26,2,1,75010,3,4,4,4,4,2,3,3,1,2,3
51,1,32,2,3,77600,4,3,2,3,3,1,3,4,2,3,4
52,1,40,2,1,43000,4,5,5,5,1,1,5,3,1,1,2
53,2,31,2,3,31700,4,5,5,5,5,3,3,5,1,5,3
54,1,39,2,4,1040,3,3,3,5,5,1,3,5,1,5,4
55,2,25,2,3,31300,4,4,4,4,4,3,4,4,3,4,4
56,1,30,2,3,76014,3,3,4,4,4,2,4,4,2,3,4
57,2,23,1,1,75013,3,4,4,5,4,2,5,4,2,2,4
58,2,32,2,3,75015,4,5,3,4,4,5,4,5,1,,5
59,1,33,2,3,34170,3,5,5,4,5,4,4,4,4,4,5
60,1,37,2,4,21000,2,3,2,3,4,3,2,4,2,2,3
61,1,28,2,1,75012,3,4,4,4,5,2,3,4,2,3,4
62,1,32,2,3,97460,4,4,4,4,5,3,4,4,2,3,5
63,2,34,2,1,31290,4,3,2,3,4,4,4,5,2,3,5
64,1,34,2,4,31400,3,3,5,5,5,5,5,3,3,5,5
65,1,35,2,1,8055,4,3,4,3,4,4,4,3,3,3,4
66,1,28,2,3,75017,4,5,5,5,5,3,5,3,5,3,5
67,1,26,2,3,93110,3,5,4,4,5,4,4,5,3,4,5
68,1,30,2,3,31200,3,4,5,4,4,3,4,3,2,2,4
69,2,27,2,3,75010,4,3,4,3,4,3,4,4,3,3,4
70,1,32,2,4,31500,4,3,4,5,5,5,4,5,3,4,5
71,2,33,2,4,31500,2,5,5,5,4,2,3,4,3,2,4
72,2,28,2,3,31240,3,5,5,5,5,2,5,3,5,3,4
73,1,28,2,3,6000,4,4,4,4,4,4,3,4,2,3,4
74,2,28,2,3,77185,3,4,5,4,5,4,5,5,3,4,4
75,2,33,2,3,31000,4,3,4,4,4,2,2,4,3,3,4
76,1,27,2,1,78955,3,3,4,4,5,3,3,5,2,4,4
77,2,39,2,4,31820,2,4,4,4,4,2,4,4,1,1,3
78,2,30,2,4,32130,3,5,5,4,5,3,5,4,2,3,4
79,2,31,2,4,31490,3,3,4,4,5,3,4,4,4,3,4
80,1,35,2,3,11000,4,5,5,2,2,2,3,1,1,1,3
81,1,35,2,3,11000,4,5,5,2,2,2,3,1,1,1,3
82,2,21,1,1,31470,3,3,3,4,4,5,4,5,2,3,3
83,2,29,2,4,92140,4,5,5,5,2,1,3,4,1,1,3
84,1,21,1,3,34150,3,3,4,3,3,2,3,3,1,1,3
85,1,21,1,3,31520,3,4,3,3,4,4,4,4,1,2,4
86,2,35,2,2,31140,3,5,5,5,5,3,4,5,3,4,4
87,1,24,1,1,31000,3,4,4,4,5,2,4,4,2,2,4
88,2,25,2,1,80000,4,4,4,4,3,3,3,4,1,3,4
89,1,27,2,3,13000,3,5,5,5,5,4,5,4,3,3,4
90,1,48,2,4,34550,3,4,3,3,5,3,4,5,3,3,3
91,2,30,2,3,31470,4,4,4,3,4,2,2,4,3,2,4
92,1,23,1,1,9000,4,5,4,4,3,3,4,3,2,2,3
93,1,48,2,1,31470,4,4,5,4,5,4,4,5,5,5,5
94,1,23,1,3,34690,4,4,4,3,4,2,2,2,1,4,5
95,2,24,1,3,31270,3,4,3,2,4,5,4,4,2,2,4
96,2,26,2,3,81000,4,2,5,5,4,2,4,4,2,4,3
97,1,29,2,1,31400,4,2,3,4,3,1,3,3,1,1,3
98,1,25,1,1,31400,3,5,5,5,4,3,4,5,3,4,3
99,2,33,2,3,31200,3,3,4,3,4,3,3,3,2,3,2
100,1,32,2,3,82000,4,4,3,4,5,2,4,5,2,1,5
101,3,39,2,4,32130,3,4,5,4,4,4,3,5,5,5,4
102,1,39,2,4,31500,3,3,2,2,3,1,3,2,3,2,3
103,2,32,2,3,31200,3,4,5,3,5,4,4,5,3,5,4
