cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Gamay noir,Touraine Amboise rouge,AOC/AOP,Rouge,Loire
Sauvignon blanc,Saussignac,AOC/AOP,Blanc,Sud-ouest
Pinot noir,Nuits-Saint-Georges premier cru Les Saints-Georges rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chardonnay blanc,Saint-Aubin premier cru Le Bas de Gamay à l'Est blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mercurey premier cru Les Naugues rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Monbazillac Sélection de grains nobles,AOC/AOP,Blanc,Sud-ouest
Chardonnay blanc,Santenay premier cru Clos Rousseau blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Auxey-Duresses premier cru Les Grands Champs rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Bourgogne Coulanges-la-Vineuse rouge,AOC/AOP,Rouge,Bourgogne
Sémillon blanc,Périgord blanc,IGP,Blanc,Bordeaux
Cabernet-Franc noir,Touraine mousseux blanc,AOC/AOP,Blanc,Loire
Grenache noir,Luberon rouge,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Mâcon Milly-Lamartine blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaune premier cru Clos de la Feguine blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Thézac-Perricard rosé,IGP,Rosé,Sud-ouest
Cabernet-Sauvignon noir,Neac,AOC/AOP,Rouge,Bordeaux
Syrah noir,Languedoc La Clape rosé,AOC/AOP,Rosé,Languedoc-roussillon
Grenache noir,Collioure rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Santenay premier cru La Comme rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Nuits-Saint-Georges premier cru Chaines Carteaux blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Fiefs Vendéens Chantonnay rouge,AOC/AOP,Rouge,Loire
Pinot noir,Beaune premier cru Les Bressandes rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Côtes de Bordeaux Blaye rouge,AOC,Rouge,Bordeaux
Chardonnay blanc,Côtes du Tarn Blanc Surmûri,IGP,Blanc,Sud-ouest
Gamay noir,Beaujolais rosé,AOC/AOP,Rosé,Beaujolais
Chardonnay blanc,Beaune premier cru Aux Cras blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Cité de Carcassonne rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Thézac-Perricard blanc,IGP,Blanc,Sud-ouest
Chardonnay blanc,Nuits-Saint-Georges premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Champagne grand cru,AOC/AOP,Blanc,Champagne
Pinot noir,Gevrey-Chambertin premier cru Les Cazetiers,AOC/AOP,Rouge,Bourgogne
Pinot noir,Atlantique rouge,IGP,Rouge,Bordeaux
Syrah noir,Languedoc Pézenas,AOC/AOP,Rouge,Languedoc-roussillon
Sauvignon blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Pinot noir,Gevrey-Chambertin premier cru Aux Combottes,AOC/AOP,Rouge,Bourgogne
Sémillon blanc,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chenin blanc,Savennières Roche aux Moines,AOC/AOP,Blanc,Loire
Chardonnay blanc,Saint-Véran bellevue,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Crémant de Die,AOC/AOP,Blanc,Rhône
Pinot noir,Atlantique rosé,IGP,Rosé,Bordeaux
Chardonnay blanc,Vin de Savoie mousseux blanc,AOC/AOP,Blanc,Savoie bugey
Pinot noir,Calvados rouge,IGP,Rouge,Loire
Pinot noir,Nuits-Saint-Georges premier cru Les Cailles rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Puligny-Montrachet rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Côtes de Duras blanc,AOC/AOP,Blanc,Sud-ouest
Chardonnay blanc,Mâcon Solutré-Pouilly blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Pays d'Oc rosé sur lie,IGP,Rosé,Languedoc-roussillon
Cabernet-Franc noir,Pays d'Oc rouge nouveau,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Chardonnay blanc,Puligny-Montrachet premier cru La Garenne blanc,AOC/AOP,Blanc,Bourgogne
Colombard blanc,Coteaux de Glanes blanc,IGP,Blanc,Sud-ouest
Chardonnay blanc,Pernand-Vergelesses premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Fixin premier cru Clos du Chapitre rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Odenas rosé nouveau,AOC/AOP,Rosé,Beaujolais
Sémillon blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Carignan noir,Cité de Carcassonne rosé,IGP,Rosé,Languedoc-roussillon
Chenin blanc,Pays d'Oc blanc mousseux,IGP,Blanc,Languedoc-roussillon
Gamay noir,Mâcon Burgy rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Blanchot dessus blanc,AOC/AOP,Blanc,Bourgogne
Carignan noir,Côtes du Roussillon Villages,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Pommard premier cru Les Croix Noires,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaujolais Saint-Lager blanc,AOC/AOP,Blanc,Beaujolais
Carignan noir,Beaumes de Venise,AOC,Rouge,Rhône
Pinot noir,Bourgogne Passe-tout-grains rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Bugey rouge,AOC/AOP,Rouge,Savoie bugey
Ugni blanc,Côtes de Blaye,AOC/AOP,Blanc,Bordeaux
Syrah noir,Comté Tolosan rouge,IGP,Rouge,Armagnac
Chardonnay blanc,Sainte-Marie-la-Blanche blanc,IGP,Blanc,Bourgogne
Pinot noir,Chassagne-Montrachet premier cru Les Fairendes rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Cabernet de Saumur nouveau,AOC/AOP,Rosé,Loire
Chardonnay blanc,Beaune premier cru Les Sizies blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Saint-Nicolas-de-Bourgueil rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Givry premier cru Le Pied de Chaume blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Corbières rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Puligny-Montrachet premier cru Clos de la Garenne rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon Serrières rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Les Macherelles blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Côtes du Tarn rouge,IGP,Rouge,Sud-ouest
Pinot noir,Chassagne-Montrachet premier cru En Remilly rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Leynes rouge nouveau,AOC/AOP,Rouge,Beaujolais
Grenache noir,Languedoc La Clape rosé,AOC/AOP,Rosé,Languedoc-roussillon
Chardonnay blanc,Bourgogne blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bourgogne Côtes d'Auxerre rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Côtes de la Charité blanc,IGP,Blanc,Loire
Pinot noir,Mercurey premier cru Griffères rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Morey-Saint-Denis premier cru Clos Baulet blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Saint-Aubin premier cru Les Frionnes rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Val de Loire rouge,IGP,Rouge,Loire
Pinot noir,Volnay premier cru Clos de la Barre,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Gamay noir,Beaujolais Odenas rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Chablis premier cru Chaume de Talvat,AOC/AOP,Blanc,Bourgogne
Grenache noir,Côtes du Rhône Villages Séguret rouge,AOC/AOP,Rouge,Rhône
Gamay noir,Beaujolais rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Puligny-Montrachet premier cru Les Referts blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chapelle-Chambertin,AOC/AOP,Rouge,Bourgogne
Grenache noir,Languedoc Saint-Drézéry rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Coteaux de Peyriac blanc,IGP,Blanc,Languedoc-roussillon
Pinot noir,Chassagne-Montrachet premier cru Les Chaumes rouge,AOC/AOP,Rouge,Bourgogne
